id,first name,last NAME,gender,country,city,marital STATUS,phone NUMBER,HIRE date,birth DATE,job TITle,salary,department ID,manager_id,DIVISION name
1,Wenda,Reame,Male,Indonesia,Babat,NULL,130-506-5536,2018-07-24,1976-03-05,CEO,24078,10,NULL,NULL
2,Gregor,Salery,Female,Indonesia,Sokobanteng,single,698-466-0561,2002-03-25,1963-09-02,VP,23314,70,1,NULL
3,Keriann,Mohamed,Male,"United States",Tyler,divorced,903-529-6571,2011-10-15,1986-06-20,VP,22136,60,1,NULL
4,Richy,Frankiss,Male,Indonesia,"Long Loreh",separated,637-954-0567,2006-01-06,1986-11-27,VP,8307,40,1,NULL
5,Ephraim,Maulin,Female,Russia,Chernyshkovskiy,NULL,131-693-5437,2002-06-30,1964-01-06,VP,11281,40,1,NULL
6,Raina,Blenkinship,Male,Botswana,Kanye,single,368-537-6110,2006-04-05,1978-04-03,"Head of Division",19522,30,2,"Research and Development"
7,Lisbeth,Schankelborg,Male,Portugal,Felgueiras,married,377-295-4899,2007-04-02,1961-04-19,"Head of Division",23381,100,2,Manufactoring
8,Marybeth,Truter,Male,Mexico,"El Calvario",married,688-563-8817,2003-02-04,1980-07-17,"Head of Division",15877,70,2,Finance
9,Kizzee,Bosma,Male,Argentina,Laborde,single,242-506-5472,2019-09-12,1977-02-05,"Head of Division",11014,90,3,Marketing
10,Brit,Gertray,Male,Tunisia,Radès,married,815-455-5566,2013-08-20,1983-06-06,"Head of Division",11676,10,3,"Customer Service"
11,Morie,Jedrzejkiewicz,Male,Russia,Solntsevo,single,391-711-2310,2014-08-18,1984-01-31,"Head of Division",7662,80,3,"Human Resources"
12,Janos,"De Gregoli",Male,China,Weiyang,married,972-614-3926,2018-07-30,1976-01-21,"Head of Division",8340,50,4,Communications
13,Dyanna,Sunley,Male,Vietnam,"Cam Ranh",single,955-963-1610,2012-06-28,1963-11-07,"Head of Division",15297,90,4,Training
14,Kata,Abbatucci,Male,Philippines,"Ramos West",single,731-526-4253,2009-12-26,1980-07-10,"Head of Division",7282,70,4,"IT - Servers"
15,Abbie,Wilmington,Male,Peru,Yuyapichis,divorced,155-207-3086,2010-11-30,1979-04-06,"Head of Division",14908,80,5,"Business coordination"
16,Amity,Divill,Male,Indonesia,Dami,separated,669-870-7562,2007-10-03,1987-12-10,"Head of Division",23254,70,5,"IT - Production"
17,Yul,Ranger,Male,Indonesia,Tinabogan,separated,311-997-8806,2014-01-21,1978-08-23,"Head of Division",5785,10,5,"IT - Operations"
18,Barde,Harley,Female,Greece,Itéa,divorced,173-245-3695,2009-07-27,1984-12-11,"General Manager",16742,20,6,"Research and Development"
