sale_id,full_name,email,gender,state,pay_method,pay_amount
1,Urson Manssuer,umanssuer0@mozilla.com,Male,Oklahoma,jcb,38.86
2,Dyanne Aldritt,daldritt1@reuters.com,Female,California,diners-club-carte-blanche,20.75
3,Jonah Pembery,jpembery2@dell.com,Male,Kentucky,jcb,85.81
4,Eugenie Alderwick,ealderwick3@samsung.com,Female,Indiana,jcb,33.98
5,Lennard Kenshole,lkenshole4@seattletimes.com,Male,California,jcb,96.86
6,Reinold Gores,rgores5@bloglovin.com,Male,Connecticut,jcb,28.67
7,Brittne Massinger,bmassinger6@github.io,Female,Tennessee,jcb,99.58
8,Dorelia Ricardo,dricardo7@nih.gov,Female,California,jcb,93.51
9,Shaw Wreath,swreath8@dot.gov,Male,Arizona,jcb,29.02
10,Meggie Jarmyn,mjarmyn9@thetimes.co.uk,Female,Virginia,jcb,94.22
11,Worden Ainger,waingera@theguardian.com,Male,Maryland,visa-electron,40.94
12,Allin Le Monnier,aleb@google.fr,Male,Maryland,mastercard,35.78
13,Gabriellia Keenlayside,gkeenlaysidec@webs.com,Female,Minnesota,china-unionpay,11.7
14,Graehme Attenbrough,gattenbroughd@soundcloud.com,Male,Colorado,maestro,23.29
15,Janek Eddicott,jeddicotte@google.com,Male,Colorado,diners-club-carte-blanche,15.33
16,Ronald Dieton,rdietonf@earthlink.net,Male,Louisiana,mastercard,47.66
17,Ax Aronin,aaroning@shinystat.com,Male,Louisiana,jcb,50.92
18,Terencio Lucks,tlucksh@oakley.com,Male,Michigan,diners-club-carte-blanche,28.45
19,Zenia Deason,zdeasoni@unc.edu,Female,North Carolina,visa,75.14
20,Lyle Maylor,lmaylorj@jimdo.com,Male,California,visa,80.72
21,Arline Bettinson,abettinsonk@cyberchimps.com,Female,Texas,jcb,65.86
22,Chase Ferrar,cferrarl@lycos.com,Male,District of Columbia,jcb,86.09
23,Stevena Iacabucci,siacabuccim@google.ru,Female,Indiana,americanexpress,40.48
24,Cynthia Benoix,cbenoixn@joomla.org,Female,Virginia,jcb,16.1
25,Karylin Leftley,kleftleyo@biglobe.ne.jp,Female,Kentucky,maestro,97.28
26,Georgena Fautley,gfautleyp@businesswire.com,Female,Louisiana,jcb,49.3
27,Carlie Leonida,cleonidaq@theglobeandmail.com,Male,North Carolina,americanexpress,45.35
28,Roanne Trolley,rtrolleyr@purevolume.com,Female,Nevada,instapayment,38.94
